"omega_mean";"omega_lowerCI";"omega_upperCI";"omega_isotropic";"isotropy_index_mean";"isotropy_index_lowerCI";"isotropy_index_upperCI";"year";"plot";"guild";"intraguild.type";"null.replicate";"null.type"
0,0948797667832225;0,0846114021495948;0,0926547689877531;0,00493197970972415;0,19238622007778;0,0647298738551716;0,315272340994348;2019;1;"all";"mean_field";48;"topology"
0,264310510857501;0,255742857265733;0,262198510463188;0,012067351244801;0,811325769780498;0,717713027049892;0,852096522105616;2019;1;"plants-floral visitors";"mean_field";12;"topology"
0,161601741716394;0,142778363526689;0,166283625896777;0,00097982973858277;0,27220283055169;0,0850641566175418;0,511453461116908;2019;1;"plants-floral visitors";"mean_field";14;"topology"
0,245814678298297;0,232426959738205;0,24503097234084;0,00436801428941105;0,586048152833872;0,440296355409025;0,744046407709476;2019;1;"plants-floral visitors";"mean_field";26;"topology"
0,203515487008227;0,191138233692396;0,202515158163176;0,00333862082688242;0,493508826322803;0,369916788090758;0,624545520417051;2019;1;"plants-floral visitors";"mean_field";32;"topology"
0,315364406787968;0,308251188404069;0,310845800003998;0,0222071977717076;0,884898242522641;0,867379001192884;0,901209466779752;2019;1;"plants-floral visitors";"mean_field";37;"topology"
0,283337890401762;0,270529707726161;0,285121554591419;0,00036207793897559;0,607629459201247;0,459773505579665;0,697377912426934;2019;1;"plants-floral visitors";"mean_field";38;"topology"
0,406081006229307;0,400870393962721;0,402202117847379;0,00589104744520139;0,733223759811775;0,723059839172032;0,744356389103063;2019;1;"plants-floral visitors";"mean_field";41;"topology"
0,299620483649737;0,291749897485053;0,295304275395592;0,00820757660540456;0,791616536424713;0,752249501116498;0,818527717620318;2019;1;"plants-floral visitors";"mean_field";49;"topology"
0,262930791710872;0,250660325372039;0,263005324723242;0,00203071671130072;0,646633215146772;0,514742525106959;0,739250613096442;2019;1;"plants-floral visitors";"mean_field";13;"topology"
0,289069727798545;0,281511627608786;0,284093303365959;0,0276084330275302;0,903088147733746;0,883324580283771;0,917082892244467;2019;1;"plants-floral visitors";"mean_field";16;"topology"
0,248062832991554;0,216087594007007;0,261777767221892;0,0133531158357112;0,2700553692421;0,0302218280010206;0,725099107281813;2019;1;"plants-floral visitors";"mean_field";30;"topology"
0,381287427736031;0,376025202561732;0,377934330775743;0,013523148564316;0,626196661946224;0,609599167978152;0,645662142676017;2019;1;"plants-floral visitors";"mean_field";34;"topology"
0,257572978244903;0,241873862473387;0,26147655797717;0,00145458884295128;0,446016044575762;0,26214703784223;0,606808062700555;2019;1;"plants-floral visitors";"mean_field";38;"topology"
0,285539780766592;0,277382825370614;0,283238877310983;0,004885147929719;0,827805022869386;0,785599973477933;0,865623654706369;2019;1;"plants-floral visitors";"mean_field";49;"topology"
0,104830194471059;0,0938090517921278;0,104465457985899;0,00391693383032557;0,222502238201357;0,0502898537138379;0,404340836447405;2019;2;"all";"mean_field";3;"topology"
0,128300063350227;0,112019971309722;0,13150063933884;0,00107243824625029;0,143626058138813;0,00917811990993601;0,417696419643569;2019;2;"all";"mean_field";5;"topology"
0,1236802318132;0,10990818535838;0,122877966856329;0,00031249545797412;0,130186630834464;0,0176006325169908;0,325863405743352;2019;2;"all";"mean_field";9;"topology"
0,127132321235807;0,102069809348218;0,126771107975084;0,0012990756380016;0,0593150158719527;0,00109278171835764;0,230611362992833;2019;2;"all";"mean_field";10;"topology"
0,119062070754691;0,10317015796905;0,119533894535667;0,00306265795638684;0,113278382808307;0,00889034819929;0,292156255369991;2019;2;"all";"mean_field";24;"topology"
0,163832656662357;0,155577532833534;0,161507625543809;0,004534362500591;0,473224657886116;0,334490469186036;0,572700720756695;2019;2;"all";"mean_field";27;"topology"
0,0883115079226037;0,0799940961162906;0,0872470074901292;0,00194930842264588;0,256423787747555;0,104964695091852;0,422170908297661;2019;2;"all";"mean_field";36;"topology"
0,146603660902082;0,136280169589808;0,14628730286007;0,00265486331842895;0,233529302108962;0,0354185961113436;0,357544378030355;2019;2;"all";"mean_field";37;"topology"
0,0610123407816288;0,0418142916352423;0,0609120202750095;0,00160210226202649;0,0365455763409591;7,72926930310969e-06;0,414799883594325;2019;2;"all";"mean_field";41;"topology"
0,118440628482633;0,0962469174420487;0,127718743883932;0,00056182473146662;0,0613703974724985;2,47630904782219e-05;0,259047680958681;2019;2;"all";"mean_field";42;"topology"
0,111827375808872;0,0952500197191522;0,109105858278853;0,00141448688914977;0,141455824892421;0,00722993270407177;0,253564761256983;2019;2;"all";"mean_field";3;"topology"
0,100880181757379;0,0728799443589444;0,105001502191408;0,00106124646062393;0,0563623818205851;1,14543053659689e-05;0,281256122726067;2019;2;"all";"mean_field";5;"topology"
0,121760515227375;0,111725638598648;0,119045886431341;0,00140588261482939;0,304352926490274;0,138093396954062;0,444797111474972;2019;2;"all";"mean_field";9;"topology"
0,158516694540129;0,126612913274124;0,169405874705642;0,00022414825350265;0,00826140257710421;2,7975068937041e-08;0,0644293631931666;2019;2;"all";"mean_field";14;"topology"
0,0962472363146208;0,0814664837357022;0,100908872100523;0,00346282623447262;0,0959020203729815;0,00167897014541994;0,397834543415629;2019;2;"all";"mean_field";17;"topology"
0,0955017792803298;0,0872442338786481;0,0948422616407102;0,00215192279235972;0,205128945455844;0,0018924722686874;0,340217843985883;2019;2;"all";"mean_field";18;"topology"
0,110005750390348;0,0903122889631002;0,112556934055139;0,00103688461961333;0,0657197944168963;0,00064117669775482;0,224882354187827;2019;2;"all";"mean_field";22;"topology"
0,158270663205077;0,132343006940958;0,164322633150168;0,00129572985845161;0,0503341804591492;0,00124622086882819;0,253554457878289;2019;2;"all";"mean_field";24;"topology"
0,12563148675107;0,10172474294757;0,131286099417851;0,00120819864598292;0,0599122148604656;0,00041317839754838;0,431361090176273;2019;2;"all";"mean_field";26;"topology"
0,188780019375316;0,176619019468095;0,185677112728281;0,00309337968604331;0,412047339756072;0,266019510417497;0,534335876954684;2019;2;"all";"mean_field";34;"topology"
0,175688997048595;0,153760910022933;0,181277751651635;0,00790350747439002;0,208512067158977;0,00618364338331694;0,649982536126173;2019;2;"all";"mean_field";35;"topology"
0,0691314684614357;0,054955279825459;0,0646142847206874;0,00067218443947139;0,0962213247718973;0,00090974966655641;0,236865662694779;2019;2;"all";"mean_field";39;"topology"
0,113795244105192;0,0920732802368426;0,126310188327241;0,00057613421457321;0,0194690636574494;5,25890514124556e-08;0,137275548031439;2019;2;"all";"mean_field";46;"topology"
0,242560974217901;0,233188190876413;0,23973472026107;0,00165548903874045;0,485598860346915;0,423596919418542;0,554643203430968;2019;2;"plants-floral visitors";"mean_field";19;"topology"
0,248442665747927;0,238699115361193;0,249558073481607;0,00788463503011898;0,739010265454258;0,586329096523147;0,83143432541017;2019;2;"plants-floral visitors";"mean_field";25;"topology"
0,231051523287371;0,216837758689929;0,231395444467595;0,00300624021396418;0,464069685533265;0,304180131672538;0,600754100944195;2019;2;"plants-floral visitors";"mean_field";38;"topology"
0,198373967250547;0,189503698999486;0,195491889922111;0,0158752296000681;0,721545859460096;0,649695470613983;0,792801553436311;2019;2;"plants-floral visitors";"mean_field";14;"topology"
0,225174807506082;0,216271970937466;0,226180863823798;0,00769026367147754;0,61932627405928;0,480102059579787;0,739584711629304;2019;2;"plants-floral visitors";"mean_field";34;"topology"
0,0358344743576336;0,0228002951553185;0,0409145775354154;0,00380983826537847;0,0195731973234798;5,18634972447021e-07;0,160818800573901;2019;2;"plants-herbivores";"mean_field";9;"topology"
0,0975989856268362;0,0809012472133056;0,0966548627919968;0,00296370093943741;0,15789165270982;0,0107890020813246;0,324091104424972;2019;2;"plants-herbivores";"mean_field";44;"topology"
0,0714721963929375;0,0388520243400728;0,0837516593055439;0,00337383131061946;0,0314283578114328;3,02726564258558e-10;0,262915672079462;2019;2;"plants-herbivores";"mean_field";49;"topology"
0,0619433293906814;0,0489554768525029;0,0611181867245099;0,00337769472260587;0,129209848426189;0,011515483455197;0,277899841333673;2019;2;"plants-herbivores";"mean_field";4;"topology"
0,0637036561845264;0,0303374149708544;0,0593009415116249;0,00085057807070585;0,0875552434611845;2,29817881682492e-08;0,205860139351024;2019;2;"plants-herbivores";"mean_field";9;"topology"
